Keyword;Currency;Avg. monthly searches;Mudança em três meses;Mudança YoY;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range);Ad impression share;Organic impression share;Organic average position;In account?;In plan?;Searches: Oct 2020;Searches: Nov 2020;Searches: Dec 2020;Searches: Jan 2021;Searches: Feb 2021;Searches: Mar 2021;Searches: Apr 2021;Searches: May 2021;Searches: Jun 2021;Searches: Jul 2021;Searches: Aug 2021;Searches: Sep 2021
lola meu cacho minha vida creme de pentear 500g;BRL;30;33%;-20%;Alto;100;0,49;1,88;;;;;;40;50;30;20;30;30;50;30;20;30;10;40
meu cabelo minha vida lola;BRL;30;-25%;-40%;Alto;100;0,29;0,94;;;;;;50;30;20;20;20;30;40;30;30;40;30;30
creme para pentear lola meu cacho minha vida;BRL;40;100%;-60%;Alto;95;0,37;1,57;;;;;;70;70;40;40;50;40;20;40;20;10;30;20
creme de pentear meu cacho minha vida lola;BRL;20;-33%;100%;Alto;100;0,31;1,31;;;;;;20;30;20;20;20;40;20;20;30;30;20;20
meu cacho minha vida lola creme de pentear;BRL;30;-50%;0%;Alto;100;0,44;1,06;;;;;;40;30;20;30;20;20;50;40;10;40;40;20
meu cacho minha vida avis;BRL;; --; --;Desconhecido;;;;;;;;;;;;;;;;;;;;
creme de pentear lola meu cacho minha vida;BRL;140;-18%;-36%;Alto;98;0,43;1,07;;;;;;140;210;110;110;110;140;170;110;110;110;90;90
lola meu cacho minha vida creme de pentear;BRL;70;-44%;0%;Alto;100;0,38;1,27;;;;;;50;70;50;70;70;50;70;70;70;90;50;50
lola meu cacho minha vida resenha;BRL;50;-20%;-43%;Alto;100;;;;;;;;40;50;70;50;50;90;50;40;70;50;30;40
shampoo lola meu cacho minha vida resenha;BRL;20;0%;0%;Alto;100;;;;;;;;30;30;10;30;10;10;10;20;20;10;20;10
creme pentear lola meu cacho minha vida;BRL;30;-33%;-33%;Alto;98;0,38;0,78;;;;;;20;50;30;20;40;40;40;50;20;30;30;20
danos vorazes lola;BRL;1900;-17%;∞;Alto;100;0,32;0,93;;;;;;0;0;1000;2400;2400;1900;1600;1900;1900;2900;2900;2400
shampoo lola para cabelos cacheados;BRL;30;0%;50%;Alto;100;0,4;1,55;;;;;;30;40;30;20;20;20;10;30;30;30;30;30
lola para cachos;BRL;50;-43%;0%;Alto;100;0,32;0,85;;;;;;30;30;50;50;40;40;70;40;40;70;30;40
sabonete em barra lola;BRL;40;-43%;100%;Alto;100;0,25;1,78;;;;;;20;20;90;20;20;40;50;40;40;70;70;40
danos vorazes;BRL;390;-19%;∞;Alto;100;0,37;1,36;;;;;;0;0;590;880;480;480;320;390;390;480;480;390
shampoo lola cabelos cacheados;BRL;50;25%;25%;Alto;100;0,4;2,02;;;;;;50;70;40;30;40;40;40;50;40;40;30;50
creme cachos lola;BRL;30;-25%;50%;Alto;100;0,33;1,12;;;;;;30;70;30;20;10;20;30;20;20;40;30;30
creme de pentear lola meu cacho minha vida 500g lojas;BRL;30;75%;∞;Alto;100;0,44;1,31;;;;;;0;0;0;0;0;0;90;50;40;40;30;70
lola danos vorazes kit;BRL;40;0%;∞;Alto;100;0,36;0,94;;;;;;0;0;0;0;70;30;10;20;90;90;30;90
liso e solto;BRL;50;0%;25%;Alto;100;0,57;2,19;;;;;;30;70;50;50;30;50;40;40;50;50;50;50
creme de pentear lola meu cacho minha vida resenha;BRL;20;-50%;-67%;Alto;100;;;;;;;;20;40;40;40;20;10;20;20;20;20;10;10
creme lola cachos;BRL;720;-18%;85%;Alto;100;0,38;1,12;;;;;;480;590;590;590;590;880;880;880;880;880;880;720
linha lola cachos;BRL;210;-34%;24%;Alto;100;0,25;0,82;;;;;;140;140;140;210;170;260;320;210;260;320;210;210
kit lola danos vorazes;BRL;40;-29%;∞;Alto;100;0,41;1,1;;;;;;0;0;0;70;70;40;50;50;40;70;50;50
lola cachos kit;BRL;50;40%;0%;Alto;100;0,36;1,58;;;;;;50;40;30;20;40;90;70;70;30;50;50;70
brancos e grisalhos lola;BRL;40;-40%;∞;Alto;100;0,24;0,52;;;;;;0;0;0;70;70;70;50;70;50;50;40;30
shampoo lola liso;BRL;260;23%;52%;Alto;100;0,45;1,25;;;;;;210;210;260;210;210;260;260;260;260;260;260;320
kit liso lola;BRL;40;100%;100%;Alto;100;0,35;1,13;;;;;;30;50;50;30;30;70;40;70;20;20;40;40
leave in lola danos vorazes;BRL;90;-18%;∞;Alto;100;0,39;1,02;;;;;;0;0;0;0;50;110;110;110;110;170;170;140
lola creme cachos;BRL;30;0%;33%;Alto;100;0,24;1,1;;;;;;30;30;30;30;30;30;20;30;40;40;50;40
meus cachos minha vida lola resenha;BRL;30;0%;200%;Alto;100;0,26;0,61;;;;;;20;20;20;20;20;50;50;30;50;30;40;30
shampoo antifrizz lola;BRL;20;200%;0%;Alto;100;0,48;1,56;;;;;;10;10;20;20;10;20;20;20;20;10;10;30
lola para cabelos cacheados;BRL;260;0%;0%;Alto;100;0,26;0,84;;;;;;210;260;260;210;170;260;320;320;210;260;210;260
meu cacho minha vida creme de pentear resenha;BRL;50;-57%;0%;Alto;97;0,29;1,84;;;;;;20;40;40;50;40;50;50;50;50;70;50;30
produtos lola cachos;BRL;210;-33%;-33%;Alto;100;0,38;1,55;;;;;;170;260;260;170;170;210;210;210;210;210;210;140
hidratação cachos lola cosmetics;BRL;10;0%;-86%;Alto;100;0,25;0,84;;;;;;10;40;30;20;10;10;20;10;10;10;10;10
meu cacho minha vida lola resenha;BRL;50;-57%;-25%;Alto;100;0,39;1,5;;;;;;70;70;50;40;50;70;70;70;70;70;30;30
danos vorazes leave in;BRL;50;-36%;∞;Alto;100;0,43;2,34;;;;;;0;0;0;0;70;70;50;70;70;110;110;70
resenha meu cacho minha vida;BRL;30;0%;0%;Alto;93;;;;;;;;20;30;40;30;20;20;20;40;20;30;20;30
creme para cachos lola;BRL;40;50%;-25%;Alto;100;0,51;1,53;;;;;;30;40;30;40;30;50;40;30;40;20;40;30
linha lola para cachos;BRL;40;100%;-43%;Alto;100;0,24;0,67;;;;;;40;40;50;40;40;70;40;40;40;20;50;40
lola cosmetics cabelos cacheados;BRL;90;-22%;0%;Alto;100;0,24;1,43;;;;;;70;70;70;90;90;90;110;90;70;90;90;70
kit lola liso;BRL;40;-25%;0%;Alto;100;0,37;1,11;;;;;;20;50;70;40;30;40;50;40;50;40;30;30
lola creme para cachos;BRL;20;100%;-50%;Alto;100;0,45;1,14;;;;;;50;50;40;10;10;20;30;20;10;10;20;20
lola cosmetics camomila;BRL;320;0%;-33%;Alto;100;0,25;0,82;;;;;;390;480;390;320;260;390;320;320;260;260;320;260
lola cosmetics sabonete;BRL;70;-20%;-20%;Alto;100;0,24;1,39;;;;;;70;70;90;70;90;50;70;70;50;50;40;40
segura essa barra;BRL;70;0%;0%;Alto;100;0,38;1,02;;;;;;70;90;90;70;40;70;70;50;50;50;70;50
lola cacheados;BRL;1000;-23%;0%;Alto;100;0,25;0,87;;;;;;880;1000;1000;880;880;1300;1600;1300;1300;1300;1300;1000
sabonetes lola;BRL;260;-19%;-47%;Alto;100;0,25;1;;;;;;320;390;390;260;170;210;390;320;260;210;320;170
creme de hidratação lola meu cacho minha vida;BRL;30;100%;0%;Alto;100;0,4;2,1;;;;;;20;10;20;30;30;20;40;50;20;10;30;20
meu cacho minha vida resenha;BRL;50;0%;-43%;Alto;100;;;;;;;;90;90;50;50;40;70;70;40;40;40;40;40
lola cabelos cacheados;BRL;590;0%;23%;Alto;100;0,25;0,93;;;;;;480;480;590;480;480;590;720;720;590;590;480;590
lola brancos e grisalhos;BRL;70;-56%;∞;Alto;100;0,24;0,78;;;;;;0;0;0;110;50;90;90;110;90;90;70;40
produtos lola para cachos;BRL;110;-82%;-82%;Alto;100;0,32;1,55;;;;;;140;140;140;140;70;90;90;110;90;110;110;20
sabonete lola cosmetics;BRL;140;0%;-67%;Alto;100;0,24;0,72;;;;;;210;260;260;170;140;140;170;140;70;70;40;70
oleo de camomila cabelo;BRL;90;0%;-22%;Alto;100;0,3;0,91;;;;;;90;90;140;140;90;90;140;90;90;70;90;70
lola sabonete;BRL;50;67%;-44%;Alto;100;0,24;1,23;;;;;;50;50;70;40;70;70;90;70;50;30;70;50
oleo de camomila para cabelo;BRL;390;23%;23%;Alto;100;0,32;0,8;;;;;;320;390;390;390;390;480;480;390;320;390;480;480
lola creme de pentear cachos;BRL;110;27%;100%;Alto;99;0,31;0,95;;;;;;50;90;90;110;110;90;140;110;140;110;140;140
lola grisalhos;BRL;50;-43%;∞;Alto;100;0,33;1,28;;;;;;0;0;0;50;50;70;90;110;70;70;70;40
liso spray;BRL;50;-40%;-25%;Alto;100;0,49;1,68;;;;;;50;40;40;30;40;70;40;50;70;50;50;30
camomila lola;BRL;260;-19%;-19%;Alto;100;0,35;0,79;;;;;;260;320;260;260;260;260;260;260;210;260;260;210
lola camomila;BRL;880;0%;-28%;Alto;100;0,36;0,91;;;;;;1000;1300;1000;880;720;880;880;880;720;720;880;720
camomila lola cosmetics;BRL;50;-25%;-67%;Alto;100;0,22;0,82;;;;;;110;90;90;90;40;50;20;50;40;40;40;30
leave in danos vorazes;BRL;320;0%;∞;Alto;100;0,39;1,25;;;;;;0;0;0;140;140;320;320;390;590;720;720;720
óleo de camomila para o cabelo;BRL;20;0%;-50%;Alto;91;;;;;;;;30;30;20;30;20;20;20;10;30;10;20;10
lola cosmetics hidratação;BRL;260;-19%;-19%;Alto;100;0,27;1,21;;;;;;260;320;210;260;260;320;390;320;260;320;260;260
mascara lola para cabelos cacheados;BRL;20;50%;50%;Alto;100;0,26;1,2;;;;;;20;20;10;30;20;30;30;30;20;20;10;30
shampoo leve;BRL;110;27%;27%;Alto;100;0,66;4,23;;;;;;110;110;90;140;110;110;90;140;110;110;140;140
shampoo lola cosmetics;BRL;390;-18%;-18%;Alto;100;0,28;1,68;;;;;;390;390;320;320;320;390;480;390;480;390;390;320
lola danos vorazes resenha;BRL;320;22%;∞;Alto;100;0,37;1,78;;;;;;0;0;140;720;390;320;320;390;260;320;390;390
lola cosmetics shampoo;BRL;260;0%;53%;Alto;100;0,27;1,35;;;;;;260;210;170;210;210;260;390;260;210;260;210;260
hidratação bemdita ghee;BRL;40;-25%;0%;Alto;100;0,42;1,04;;;;;;20;10;20;50;30;70;50;70;70;40;50;30
shampoo lola 500ml;BRL;40;-25%;-25%;Alto;100;0,44;1,8;;;;;;40;40;30;20;40;70;40;30;50;40;40;30
finalizador de cachos lola;BRL;30;0%;0%;Alto;100;0,31;0,71;;;;;;30;20;40;20;20;40;20;20;30;30;30;30
danos vorazes lola resenha;BRL;260;-46%;∞;Alto;100;0,44;1,5;;;;;;0;0;0;390;390;320;260;320;390;390;320;210
ghee hidratação;BRL;20;-50%;-67%;Alto;100;;;;;;;;20;30;20;40;30;10;20;40;30;20;10;10
hidratação lola cosmetics;BRL;140;-21%;-35%;Alto;100;0,25;1,06;;;;;;140;140;110;140;170;260;170;140;140;140;140;110
hidratação lola;BRL;1900;0%;0%;Alto;100;0,27;0,9;;;;;;1600;1900;1900;1600;1600;1900;2400;1900;1900;1900;1900;1900
spray liso;BRL;170;-19%;21%;Alto;100;0,45;1,37;;;;;;110;170;140;170;110;210;170;170;170;210;170;170
shampoo lola hidratação;BRL;110;-18%;0%;Alto;100;0,33;1,54;;;;;;90;90;110;110;90;110;140;110;140;110;110;90
kit lola cachos;BRL;210;0%;50%;Alto;100;0,29;0,98;;;;;;110;140;210;170;170;210;320;260;260;210;260;210
shampoo da lola cosmetics;BRL;50;-50%;-50%;Alto;100;;;;;;;;30;20;30;30;40;70;140;90;40;20;50;10
colonia lola cosmetics;BRL;90;-43%;-71%;Alto;100;0,24;0,99;;;;;;110;170;140;110;90;50;70;70;40;70;70;40
lola hidratação;BRL;1000;-23%;0%;Alto;100;0,26;0,98;;;;;;1000;1000;1000;1000;1000;1300;1300;1300;1000;1300;1300;1000
shampoo lola;BRL;3600;0%;0%;Alto;100;0,37;1,56;;;;;;3600;3600;3600;3600;2900;3600;4400;4400;3600;3600;3600;3600
kit danos vorazes lola;BRL;90;21%;∞;Alto;100;0,35;0,92;;;;;;0;0;0;140;140;110;70;110;90;140;110;170
creme da lola cachos;BRL;170;-86%;-79%;Alto;100;0,29;0,73;;;;;;170;210;170;210;170;170;210;260;210;210;90;30
kit cachos lola;BRL;50;0%;67%;Alto;100;0,33;1,07;;;;;;40;40;30;50;40;50;50;30;30;50;70;50
creme cabelo cacheado lola;BRL;30;0%;-25%;Alto;100;0,25;1,55;;;;;;20;10;40;30;30;30;50;20;30;30;20;30
manteiga hidratante lola;BRL;70;-44%;0%;Alto;100;0,31;1,81;;;;;;40;50;90;70;50;70;90;90;70;90;90;50
sabão lola cosmetics;BRL;140;0%;-67%;Alto;100;0,24;0,72;;;;;;210;260;260;170;140;140;170;140;70;70;40;70
lola camomila shampoo;BRL;20;-67%;-67%;Alto;100;0,36;0,87;;;;;;20;30;20;20;20;30;20;10;30;30;30;10
manteiga hidratante lola cosmetics;BRL;50;-73%;-40%;Alto;100;0,38;2,78;;;;;;50;70;50;40;40;30;70;110;50;110;40;30
kit lola cosmetics cachos;BRL;30;33%;33%;Alto;100;0,37;1,2;;;;;;20;50;30;20;40;40;30;40;20;30;30;40
lola cosmetics colonia;BRL;40;-50%;-50%;Alto;100;0,23;1,91;;;;;;40;70;50;30;30;30;30;30;30;40;40;20
lola shampoo camomila;BRL;70;80%;-18%;Alto;100;0,35;0,93;;;;;;90;90;90;90;70;90;70;50;90;50;70;90
shampoo da lola;BRL;320;-19%;-19%;Alto;100;0,3;0,73;;;;;;320;320;260;320;260;320;390;320;320;320;320;260
lola cosmetics esfoliante;BRL;90;33%;-56%;Alto;100;0,24;0,97;;;;;;140;140;170;170;140;90;50;50;50;30;50;40
lola spray antifrizz;BRL;140;0%;89%;Alto;99;0,37;1,17;;;;;;90;70;90;110;140;170;170;260;170;170;170;170
resenha danos vorazes lola;BRL;20;-25%;∞;Alto;87;;;;;;;;0;0;0;0;0;50;40;50;30;40;30;30
creme de cabelo cacheado lola;BRL;50;40%;40%;Alto;100;0,27;1,13;;;;;;40;20;30;40;40;50;50;50;40;50;70;70
shampoo lola camomila;BRL;480;0%;-19%;Alto;100;0,35;1,21;;;;;;590;720;480;590;480;390;480;390;480;480;480;480
finalizador lola liso;BRL;30;0%;0%;Alto;100;0,43;0,77;;;;;;20;20;10;20;30;30;50;40;50;40;20;40
produtos para cabelos cacheados lola;BRL;40;25%;67%;Alto;100;0,35;1,53;;;;;;30;40;40;20;40;40;50;40;50;40;50;50
creme lola para cachos;BRL;50;0%;-57%;Alto;100;0,36;0,73;;;;;;70;140;50;70;30;30;50;30;20;30;30;30
esfoliante lola cosmetics;BRL;140;-29%;-71%;Alto;100;0,24;0,91;;;;;;140;260;260;170;170;170;140;90;90;70;70;50
liso lola spray;BRL;110;0%;0%;Alto;100;0,4;1,07;;;;;;50;90;90;90;90;170;210;140;170;110;110;110
condicionador lola camomila;BRL;50;75%;0%;Alto;100;0,39;1,1;;;;;;40;50;30;20;30;40;90;50;50;40;70;70
lola segura essa marimba;BRL;20;0%;-50%;Alto;100;0,38;0,94;;;;;;10;30;10;30;10;50;20;20;20;20;10;20
lola hidratante corporal;BRL;20;-67%;-50%;Alto;100;0,27;2,32;;;;;;30;20;10;10;30;20;30;40;10;30;10;10
creme para cabelo cacheado lola;BRL;90;0%;0%;Alto;99;0,25;1;;;;;;110;90;90;90;70;110;110;110;90;110;90;110
ativador de cachos lola cosmetics;BRL;30;-75%;-67%;Alto;100;0,16;0,61;;;;;;20;30;50;20;20;20;30;20;20;40;20;10
lola cosmetics hidratante corporal;BRL;30;50%;-40%;Alto;100;0,24;2,15;;;;;;30;50;50;30;40;30;50;20;30;20;50;30
spray lola liso;BRL;50;150%;-76%;Alto;100;0,38;0,83;;;;;;90;90;40;40;20;50;50;30;50;20;40;50
spray antifrizz lola;BRL;390;-19%;22%;Alto;100;0,37;1,2;;;;;;260;390;390;320;390;390;390;320;480;480;480;390
creme de pentear lola cachos;BRL;720;0%;22%;Alto;100;0,35;1,21;;;;;;590;590;590;590;480;720;720;720;720;720;720;720
creme da lola para cachos;BRL;30;133%;75%;Alto;99;0,31;1,09;;;;;;20;20;30;20;30;30;30;10;30;30;70;70
kit lola cosmetics camomila;BRL;50;-60%;-60%;Alto;100;0,27;0,53;;;;;;50;70;50;50;40;50;40;30;30;50;50;20
linha lola camomila;BRL;30;-50%;-75%;Alto;100;0,24;0,53;;;;;;40;30;50;50;20;30;30;40;20;20;20;10
shampoo vida;BRL;30;67%;150%;Alto;100;0,41;1,32;;;;;;20;20;20;30;30;30;30;50;50;30;40;50
lola esfoliante;BRL;50;0%;-40%;Alto;100;0,22;1,69;;;;;;50;50;70;50;40;70;70;40;30;30;30;30
creme de pentear cachos lola;BRL;40;33%;100%;Alto;100;0,31;1,11;;;;;;30;40;70;40;30;40;40;30;20;30;40;40
lola shampoo hidratante;BRL;30;0%;-25%;Alto;100;0,55;1,74;;;;;;50;40;50;50;30;40;20;30;20;30;20;30
lola cosmetics cachos resenha;BRL;20;-50%;0%;Alto;100;;;;;;;;30;70;30;20;30;20;20;10;30;20;10;10
shampoo lola hidratante;BRL;110;-18%;0%;Alto;100;0,33;1,54;;;;;;90;90;110;110;90;110;140;110;140;110;110;90
esfoliante lola;BRL;480;23%;-46%;Alto;100;0,23;0,67;;;;;;720;590;720;720;590;480;590;390;320;260;260;320
sabão lola;BRL;110;0%;-22%;Alto;100;0,25;1,2;;;;;;90;110;110;90;90;110;110;210;110;70;90;70
óleo de camomila para os cabelos;BRL;20;0%;-50%;Alto;100;;;;;;;;90;50;20;10;10;10;10;10;10;10;10;10
esfoliante da lola;BRL;20;-50%;-80%;Alto;100;0,22;0,39;;;;;;30;20;10;20;30;30;20;20;10;20;10;10
creme de pentear cabelo cacheado lola;BRL;30;0%;-43%;Alto;100;0,41;1,5;;;;;;20;20;20;10;30;30;40;40;20;40;20;40
esfoliante lola carvão;BRL;20;100%;-71%;Alto;97;;;;;;;;30;30;50;20;40;20;20;20;10;10;10;20
hidratação da lola cosmetics;BRL;50;-60%;-71%;Alto;100;0,25;0,93;;;;;;40;30;40;90;70;50;50;40;50;50;30;20
hidratante lola;BRL;1900;0%;0%;Alto;100;0,27;0,9;;;;;;1600;1900;1900;1600;1600;1900;2400;1900;1900;1900;1900;1900
creme de pentear lola cosmetics;BRL;170;0%;0%;Alto;100;0,41;1,08;;;;;;140;210;210;140;140;210;170;170;170;170;170;170
creoula ou meu cacho minha vida;BRL;20;0%;100%;Alto;100;;;;;;;;20;20;20;20;20;20;20;20;30;20;20;20
lola cosmetics crespo;BRL;30;200%;0%;Alto;100;0,24;0,86;;;;;;30;30;20;30;10;10;40;20;30;10;20;30
lola cosmetics creme de pentear;BRL;260;-33%;53%;Alto;100;0,27;0,91;;;;;;170;260;210;260;320;260;260;320;320;390;320;260
shampoo hidratante lola cosmetics;BRL;20;0%;-67%;Alto;100;;;;;;;;20;40;30;30;30;20;20;10;10;10;10;10
lola cosmetics ondulados;BRL;480;-19%;23%;Alto;100;0,31;1,34;;;;;;390;590;480;480;390;480;720;590;480;590;590;480
lola cosmetics;BRL;60500;-18%;22%;Alto;100;0,24;1,35;;;;;;49500;60500;60500;49500;49500;60500;74000;60500;60500;74000;60500;60500
lola cosmetics esfoliante corporal;BRL;50;0%;-78%;Alto;100;0,25;2,05;;;;;;90;70;90;70;30;70;50;30;30;20;10;20
condicionador lola;BRL;480;-19%;23%;Alto;100;0,3;1,15;;;;;;390;390;390;480;390;480;590;480;390;590;590;480
shampoo cosmetics;BRL;30;0%;50%;Alto;100;0,59;1,39;;;;;;30;20;30;20;30;30;40;20;30;30;20;30
condicionador lola cosmetics;BRL;50;0%;133%;Alto;100;0,44;1,24;;;;;;50;40;50;40;70;50;50;70;70;70;70;70
produtos lola para cabelos lisos;BRL;110;24%;600%;Alto;100;0,25;0,8;;;;;;30;50;50;50;90;90;110;70;110;170;170;210
shampoo lola preço;BRL;10;100%;-60%;Alto;100;0,31;0,96;;;;;;30;10;20;10;10;20;10;10;10;10;10;20
shampoo hidratante lola;BRL;140;55%;21%;Alto;100;0,33;1,64;;;;;;170;140;140;90;170;140;140;140;140;110;170;170
lola hidratante;BRL;1000;-23%;0%;Alto;100;0,26;0,98;;;;;;1000;1000;1000;1000;1000;1300;1300;1300;1000;1300;1300;1000
linha da lola;BRL;90;27%;27%;Alto;100;0,24;0,65;;;;;;90;70;90;70;90;110;90;110;110;110;90;140
lola condicionador;BRL;110;27%;56%;Alto;100;0,39;1,52;;;;;;90;90;90;70;70;140;140;90;110;110;90;140
produtos da lola para cabelos lisos;BRL;40;40%;-36%;Alto;100;0,27;0,85;;;;;;40;40;10;10;20;10;20;40;50;50;70;70
lola cosmetics condicionador;BRL;40;-40%;50%;Alto;100;0,27;0,99;;;;;;30;30;30;40;30;30;40;30;40;50;70;30
lola ondulados;BRL;1300;0%;30%;Alto;100;0,38;1,29;;;;;;1000;1600;1300;1300;880;1000;1300;1300;1000;1300;1600;1300
sabão rosto lola cosmetics;BRL;20;0%;-80%;Alto;100;;;;;;;;50;50;20;30;30;20;10;10;30;10;10;10
lola cosmetics shampoo e condicionador;BRL;90;0%;0%;Alto;100;0,26;1;;;;;;70;70;50;70;90;90;140;110;70;70;70;70
lola para cabelos crespos;BRL;30;150%;67%;Alto;100;0,21;0,66;;;;;;20;20;20;20;10;40;50;30;40;20;30;50
manteiga lola cosmetics;BRL;70;-20%;-56%;Alto;100;0,4;1,47;;;;;;70;70;90;70;70;90;90;50;70;50;30;40
condicionador de camomila;BRL;140;27%;-33%;Alto;100;0,27;1,55;;;;;;140;140;140;140;140;90;170;140;110;110;110;140
lola cosmetics cabelos ondulados;BRL;30;0%;-50%;Alto;100;0,51;1,41;;;;;;30;40;30;30;40;20;70;30;20;20;20;20
creme para pentear lola cosmetics;BRL;30;-33%;-50%;Alto;89;0,32;0,76;;;;;;30;30;20;30;30;20;30;30;30;30;20;20
shampoo hidratação lola;BRL;50;0%;133%;Alto;100;0,43;1,87;;;;;;30;40;30;40;50;50;50;50;40;70;30;70
