Keyword;Currency;Avg. monthly searches;Mudança em três meses;Mudança YoY;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range);Ad impression share;Organic impression share;Organic average position;In account?;In plan?;Searches: Oct 2020;Searches: Nov 2020;Searches: Dec 2020;Searches: Jan 2021;Searches: Feb 2021;Searches: Mar 2021;Searches: Apr 2021;Searches: May 2021;Searches: Jun 2021;Searches: Jul 2021;Searches: Aug 2021;Searches: Sep 2021
protetor solar é cosmetico;BRL;10;0%;-67%;Baixo;0;;;;;;;;20;20;10;20;10;10;20;10;10;10;10;10
protetor solar liberado;BRL;20;100%;100%;Alto;100;1,14;3,22;;;;;;40;30;20;30;10;20;30;20;10;10;10;20
fator proteção solar;BRL;320;50%;0%;Alto;100;0,87;3,25;;;;;;390;390;480;590;390;260;210;210;210;260;320;390
protetor solar orgânico;BRL;90;0%;-57%;Alto;100;0,59;3,17;;;;;;210;170;140;70;70;70;90;40;50;90;110;90
protetor solar anvisa;BRL;40;33%;0%;Alto;85;0,33;3,17;;;;;;50;30;40;30;30;40;40;30;30;30;40;40
protetor solar de uva;BRL;70;75%;40%;Alto;100;0,8;3,3;;;;;;90;70;90;70;50;70;70;70;40;40;70;70
protetor solar e filtro solar;BRL;20;0%;0%;Alto;74;0,13;1,14;;;;;;20;10;10;20;10;10;20;10;30;20;40;20
anvisa protetor solar;BRL;40;0%;0%;Alto;81;0,5;3,28;;;;;;40;50;40;50;30;50;40;20;20;30;30;30
filtro protetor solar;BRL;140;21%;55%;Alto;100;0,82;2,91;;;;;;140;170;140;170;110;90;90;110;110;140;140;170
fotoprotetora;BRL;390;86%;0%;Alto;91;0,31;3,23;;;;;;390;480;320;320;320;390;390;390;320;210;320;390
filtro solar significado;BRL;10;0%;0%;Baixo;20;0,49;1,16;;;;;;10;10;10;10;10;10;10;10;10;10;10;10
protetor solar antigo;BRL;50;75%;40%;Alto;77;2,53;3,28;;;;;;40;70;70;70;50;50;30;20;30;40;50;70
protetores solares quimicos;BRL;20;0%;-50%;Alto;100;1,13;1,15;;;;;;20;10;10;20;20;20;10;10;10;10;30;10
tipo de protetor solar;BRL;390;50%;0%;Alto;92;0,79;3,27;;;;;;480;480;480;390;390;390;390;320;260;320;390;480
filtro solar ou protetor solar;BRL;110;0%;0%;Alto;81;0,16;1,15;;;;;;140;110;110;110;90;110;110;110;90;110;110;110
curiosidades sobre protetor solar;BRL;20;100%;0%;Baixo;14;0,95;3,28;;;;;;20;20;30;30;30;10;40;10;10;10;10;20
protetor solar fatores de proteção;BRL;20;50%;200%;Alto;100;0,83;3,28;;;;;;10;40;30;50;30;30;10;10;20;20;20;30
fator de proteção;BRL;90;100%;0%;Baixo;32;0,78;1,52;;;;;;140;110;90;70;70;90;110;110;90;70;90;140
protetor solar uvb;BRL;50;67%;25%;Alto;100;1,1;3,23;;;;;;30;20;40;40;30;110;70;50;30;30;40;50
protetor solar uva;BRL;480;-19%;129%;Alto;100;0,95;3,25;;;;;;140;110;210;320;390;1600;880;720;720;480;260;390
fator protetor solar;BRL;320;50%;0%;Alto;100;0,87;3,25;;;;;;390;390;480;590;390;260;210;210;210;260;320;390
filtro solar;BRL;9900;49%;22%;Alto;100;0,81;3,19;;;;;;9900;9900;9900;9900;8100;8100;8100;8100;8100;8100;9900;12100
uso do protetor solar;BRL;210;24%;-19%;Baixo;29;0,47;3;;;;;;260;260;210;260;170;260;210;210;170;170;210;210
protetor solar fatores;BRL;90;80%;-36%;Alto;94;0,89;3,25;;;;;;170;110;140;170;110;50;40;50;30;50;70;90
uso de protetor solar;BRL;170;55%;-19%;Baixo;26;0,5;3,09;;;;;;210;170;210;210;140;210;140;140;170;110;170;170
protetor solar serve para que;BRL;70;40%;40%;Médio;51;0,79;3,12;;;;;;70;50;50;70;70;70;70;70;50;50;70;70
fator solar protetor;BRL;50;75%;133%;Alto;100;0,77;3,16;;;;;;50;30;50;90;70;30;40;20;20;40;50;70
fator de proteção solar;BRL;880;-18%;-18%;Alto;86;0,85;3,25;;;;;;1000;880;880;1000;720;720;720;590;590;880;720;720
protetor a;BRL;40;-43%;33%;Alto;80;;;;;;;;40;50;30;40;40;50;50;30;30;70;40;40
o protetor solar;BRL;90;0%;57%;Alto;91;0,88;3,28;;;;;;110;70;70;90;70;110;110;90;90;110;110;110
fatores protetor solar;BRL;50;67%;-29%;Alto;96;0,94;3,28;;;;;;50;50;90;90;50;40;30;20;40;30;40;50
fps filtro solar;BRL;50;0%;-29%;Alto;92;0,83;1,16;;;;;;70;50;50;50;30;50;50;30;40;50;40;50
filtros solares físicos;BRL;140;89%;-19%;Alto;100;0,61;2,83;;;;;;170;170;140;90;90;110;110;140;90;90;140;170
fatores de protetor solar;BRL;260;23%;0%;Alto;84;0,78;3,22;;;;;;390;320;320;390;260;170;170;110;140;260;260;320
protetor solar brasil;BRL;20;-33%;0%;Alto;100;2,71;3,32;;;;;;10;20;10;30;20;20;10;20;20;30;20;20
protetores solares com ppd;BRL;20;0%;-60%;Alto;100;0,56;3,25;;;;;;40;20;20;40;20;30;10;20;30;20;20;20
fator do protetor solar;BRL;170;55%;-19%;Médio;61;0,79;3,22;;;;;;210;170;210;260;140;110;90;110;90;110;140;170
fps protetor solar;BRL;880;39%;14%;Alto;88;0,94;2,53;;;;;;880;880;880;1000;880;880;880;880;880;720;880;1000
filtro ou protetor solar;BRL;30;33%;0%;Alto;81;0,15;1,15;;;;;;30;30;40;50;20;30;30;30;40;30;20;40
o uso do protetor solar;BRL;20;0%;-50%;Baixo;32;0,9;2,84;;;;;;30;30;20;20;20;20;30;30;20;20;20;20
