Keyword;Currency;Avg. monthly searches;Mudança em três meses;Mudança YoY;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range);Ad impression share;Organic impression share;Organic average position;In account?;In plan?;Searches: Oct 2020;Searches: Nov 2020;Searches: Dec 2020;Searches: Jan 2021;Searches: Feb 2021;Searches: Mar 2021;Searches: Apr 2021;Searches: May 2021;Searches: Jun 2021;Searches: Jul 2021;Searches: Aug 2021;Searches: Sep 2021
sabonete líquido hidratante;BRL;480;-33%;-33%;Alto;100;0,87;3,96;;;;;;390;590;390;390;390;480;590;590;590;720;720;480
hidratante corporal orgânico;BRL;110;-21%;-35%;Alto;100;1,08;2,83;;;;;;170;140;90;110;90;90;140;110;110;140;110;110
hidratante orgânico;BRL;140;0%;-33%;Alto;100;0,77;2,75;;;;;;210;210;170;110;110;140;110;140;140;140;140;140
sabonete líquido com hidratante;BRL;70;0%;-22%;Alto;100;0,77;3,12;;;;;;70;70;40;70;50;50;40;90;70;70;90;70
loção hidratante corporal;BRL;260;-19%;24%;Alto;100;1,68;6,8;;;;;;210;260;320;210;170;260;320;260;320;320;320;260
creme esfoliante facial;BRL;140;27%;0%;Alto;100;1,02;2,21;;;;;;140;140;110;110;140;170;110;110;110;110;170;140
loção hidratante organica;BRL;20;0%;0%;Alto;100;0,28;2,18;;;;;;10;20;20;30;10;30;40;40;20;20;20;20
hidratante facial noturno;BRL;720;-28%;-18%;Alto;100;2,35;3,1;;;;;;720;720;590;720;590;880;880;880;880;1000;880;720
hidratante;BRL;90500;-18%;-18%;Alto;99;0,92;3,92;;;;;;90500;74000;74000;74000;74000;90500;90500;90500;74000;90500;90500;74000
hidratante noturno facial;BRL;40;-40%;-25%;Alto;100;2,32;2,56;;;;;;20;30;30;50;30;40;40;70;70;50;50;30
hidratante organica;BRL;90;-36%;0%;Alto;100;0,67;2,28;;;;;;90;90;90;50;90;110;90;70;50;110;40;70
creme noturno;BRL;1000;-23%;0%;Alto;100;0,57;2,07;;;;;;880;880;720;880;720;880;1300;1300;1300;1300;1300;1000
loção corporal;BRL;720;0%;22%;Alto;100;1,54;3,51;;;;;;590;720;720;720;590;1000;720;720;720;720;720;720
